epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.9727,1.28545,1.90269,1.46237,0.26092,0.24944,0.20916,0.15131,1.53738,15.2155,1.53163,0.06868,0.00196151,0.00196151
2,130.739,1.30372,1.92883,1.47837,0.32743,0.25004,0.25073,0.17078,1.3793,16.1668,1.37333,0.0373111,0.00392597,0.00392597
3,195.824,1.32616,1.97056,1.48882,0.34791,0.22439,0.21998,0.15308,1.48867,18.7766,1.45107,0.00594184,0.00589,0.00589
4,260.816,1.34826,2.02321,1.51168,0.24522,0.28051,0.22903,0.14876,1.45969,13.8971,1.40679,0.00589226,0.00589226,0.00589226
5,327.493,1.33415,1.99187,1.48734,0.22604,0.24215,0.20316,0.14608,1.39963,18.0637,1.36159,0.00589114,0.00589114,0.00589114
6,392.789,1.32181,1.95833,1.48749,0.25934,0.27255,0.23329,0.15955,1.43492,12.8806,1.4087,0.0058897,0.0058897,0.0058897
7,457.632,1.3139,1.94574,1.48369,0.34938,0.26634,0.23714,0.16081,1.39778,23.2233,1.39535,0.00588794,0.00588794,0.00588794
8,523.968,1.29996,1.91141,1.47472,0.29358,0.24639,0.22561,0.15667,1.38686,23.0052,1.3692,0.00588586,0.00588586,0.00588586
9,582.792,1.30292,1.89963,1.47512,0.26111,0.27987,0.22903,0.16802,1.37012,17.7966,1.35129,0.00588347,0.00588347,0.00588347
10,642.126,1.29645,1.88628,1.46609,0.28265,0.27988,0.24247,0.17161,1.35031,24.0618,1.33655,0.00588075,0.00588075,0.00588075
11,699.031,1.28992,1.89354,1.46891,0.28889,0.25221,0.23951,0.16504,1.35703,22.3684,1.32308,0.00587772,0.00587772,0.00587772
12,757.515,1.2703,1.84654,1.44605,0.30126,0.28271,0.25338,0.16838,1.37778,15.5879,1.3529,0.00587437,0.00587437,0.00587437
13,817.858,1.28263,1.85187,1.45785,0.33867,0.27378,0.25279,0.18307,1.3274,17.8159,1.3355,0.00587069,0.00587069,0.00587069
14,875.186,1.26556,1.81777,1.44609,0.32765,0.29403,0.25936,0.1807,1.35275,14.3512,1.33848,0.00586671,0.00586671,0.00586671
15,938.375,1.26675,1.82154,1.44923,0.31098,0.27739,0.26005,0.18638,1.347,17.4066,1.33919,0.0058624,0.0058624,0.0058624
16,997.018,1.25999,1.79959,1.44203,0.31899,0.29896,0.27771,0.20303,1.33739,17.723,1.31931,0.00585778,0.00585778,0.00585778
17,1055.44,1.25765,1.78916,1.43844,0.30493,0.28906,0.26112,0.18876,1.32764,15.6765,1.30486,0.00585284,0.00585284,0.00585284
18,1113.78,1.24287,1.75061,1.42563,0.33378,0.28101,0.26393,0.19036,1.33402,15.2425,1.30498,0.00584759,0.00584759,0.00584759
19,1174.06,1.23717,1.73208,1.41929,0.32017,0.32072,0.28652,0.20104,1.31926,12.6426,1.31873,0.00584202,0.00584202,0.00584202
20,1231.51,1.23854,1.75346,1.42067,0.32617,0.2978,0.28309,0.1987,1.30705,13.2063,1.30461,0.00583614,0.00583614,0.00583614
21,1292.29,1.22375,1.72587,1.41218,0.29626,0.3102,0.27757,0.20096,1.32572,15.2362,1.30102,0.00582995,0.00582995,0.00582995
22,1352.02,1.22023,1.71685,1.40659,0.31607,0.29447,0.27009,0.19538,1.31307,16.6719,1.30329,0.00582344,0.00582344,0.00582344
23,1416.24,1.22382,1.7058,1.41093,0.36733,0.28134,0.28761,0.20274,1.28315,18.8352,1.28161,0.00581662,0.00581662,0.00581662
24,1476.46,1.21639,1.71532,1.41158,0.36276,0.28113,0.26255,0.19407,1.30019,14.2269,1.30388,0.00580949,0.00580949,0.00580949
25,1541.21,1.20518,1.68344,1.39641,0.30368,0.32349,0.28165,0.20305,1.28577,16.2596,1.29446,0.00580204,0.00580204,0.00580204
26,1601.13,1.21408,1.67234,1.40001,0.38172,0.30244,0.30993,0.22794,1.27069,14.3031,1.27252,0.00579429,0.00579429,0.00579429
27,1666.73,1.19041,1.63516,1.38558,0.29312,0.30766,0.27559,0.20103,1.28285,14.3499,1.27045,0.00578623,0.00578623,0.00578623
28,1727.75,1.20106,1.64823,1.39539,0.3241,0.31424,0.28025,0.1995,1.27541,17.3311,1.29165,0.00577786,0.00577786,0.00577786
29,1789.87,1.20638,1.66362,1.398,0.35526,0.29613,0.29549,0.20684,1.28466,16.413,1.29218,0.00576918,0.00576918,0.00576918
